hour_bucket,predicted_total_cost
2024-05-31 00:00:00+00:00,50706695.52380952
2024-05-31 01:00:00+00:00,60343852.38095238
2024-05-31 02:00:00+00:00,69981009.23809524
2024-05-31 03:00:00+00:00,79618166.09523809
2024-05-31 04:00:00+00:00,89255322.95238096
2024-05-31 05:00:00+00:00,98892479.80952382
